"('anchor', 'track_id')","('positive', 'track_id')","('negative', 'track_id')","('anchor', 'genre_top')","('positive', 'genre_top')","('negative', 'genre_top')","('anchor', 'album_id')","('positive', 'album_id')","('negative', 'album_id')","('anchor', 'artist_id')","('positive', 'artist_id')","('negative', 'artist_id')","('anchor', 'genres_all')","('positive', 'genres_all')","('negative', 'genres_all')"
26011,89445,124917,Hip-Hop,Hip-Hop,Electronic,4918,14928,18874,4454,16870,20826,[21],[21],"[42, 15, 337, 401, 181]"
130454,123442,121661,Hip-Hop,Hip-Hop,Instrumental,19640,18671,18457,21503,20648,11939,[21],"[539, 100, 21]","[107, 18, 1235]"
99093,75380,123760,Hip-Hop,Hip-Hop,Instrumental,16020,13247,18726,16031,12271,20678,[21],[21],[1235]
130168,130709,40121,Hip-Hop,Hip-Hop,Experimental,19607,19682,7946,18872,21509,281,[21],"[100, 21]","[38, 47]"
114044,63755,14737,Hip-Hop,Hip-Hop,Rock,17582,11515,3430,19459,7473,4120,[21],[21],[12]
11787,30059,149142,Hip-Hop,Hip-Hop,Instrumental,2898,6391,19180,3089,7473,19461,[21],[21],"[18, 1235]"
110265,154309,69766,Hip-Hop,Hip-Hop,Folk,17087,22780,12385,19058,23208,10469,"[539, 21]","[811, 539, 21]",[17]
55119,98578,93363,Hip-Hop,Hip-Hop,Electronic,10278,15949,15376,12085,15196,17293,"[811, 21]","[539, 21]","[400, 42, 182, 15]"
71244,55113,114293,Hip-Hop,Hip-Hop,Electronic,12639,10278,17611,14544,12085,19480,"[100, 21]","[539, 21]","[296, 181, 182, 15]"
100949,108841,38817,Hip-Hop,Hip-Hop,International,16141,16893,7757,18156,3593,9237,[21],[21],"[177, 2]"
141304,98627,3833,Hip-Hop,Hip-Hop,Rock,21243,15954,572,22552,17784,190,"[539, 100, 21]","[539, 21]",[12]
70655,141166,124201,Hip-Hop,Hip-Hop,Rock,12548,7414,18780,14456,8691,17369,[21],"[100, 21]","[25, 12, 85]"
6609,71241,118257,Hip-Hop,Hip-Hop,Experimental,2011,12639,18128,1882,14544,19996,[21],"[100, 21]","[1, 250, 38]"
26020,75932,74377,Hip-Hop,Hip-Hop,Experimental,4918,13303,13141,4454,15323,12566,[21],"[811, 21]","[16, 38, 763, 6]"
130454,57822,95249,Hip-Hop,Hip-Hop,Rock,19640,10661,15451,21503,12533,7491,[21],"[811, 21]","[25, 12, 111]"
124702,89846,149082,Hip-Hop,Hip-Hop,Pop,18850,14962,22212,11979,16894,23647,[21],"[539, 21]","[10, 76]"
70773,123966,92874,Hip-Hop,Hip-Hop,Experimental,12560,18752,15336,14476,20707,14774,"[21, 542]","[539, 21]","[224, 1, 38]"
70660,141168,143061,Hip-Hop,Hip-Hop,Electronic,12548,7414,21463,14456,8691,22774,[21],"[100, 21]","[184, 42, 236, 15]"
82780,69564,126673,Hip-Hop,Hip-Hop,Rock,14041,12353,19146,16031,14261,21027,[21],[21],"[66, 12]"
121318,136469,58333,Hip-Hop,Hip-Hop,Rock,18416,20500,10761,20304,14456,12626,"[811, 539, 100, 21]",[21],"[12, 31]"
75746,110776,9550,Hip-Hop,Hip-Hop,Rock,13285,17152,2350,12271,16031,1917,"[539, 21]",[21],[12]
98628,89195,54442,Hip-Hop,Hip-Hop,International,15954,14889,10186,17784,16856,11984,"[539, 21]","[100, 21]","[2, 79]"
111938,114274,142549,Hip-Hop,Hip-Hop,Pop,17282,17607,21402,19201,18587,22682,"[539, 21]","[811, 21]",[10]
6442,129910,111382,Hip-Hop,Hip-Hop,Pop,1996,19576,17220,706,21421,16362,[21],"[539, 21]","[10, 76]"
98573,130170,890,Hip-Hop,Hip-Hop,Folk,15949,19607,245,15196,18872,168,"[539, 21]",[21],"[49, 17]"
43863,123976,138040,Hip-Hop,Hip-Hop,Pop,8608,18752,20746,3738,20707,22220,"[811, 21]","[539, 21]",[10]
98551,57819,14344,Hip-Hop,Hip-Hop,Electronic,15947,10661,3338,12271,12533,3949,"[539, 21]","[811, 21]",[15]
78834,145741,97588,Hip-Hop,Hip-Hop,Folk,13583,21775,15809,15601,18872,17860,"[83, 100, 21]",[21],"[17, 180, 103]"
75419,83718,19413,Hip-Hop,Hip-Hop,Pop,13250,14145,4411,12271,7473,5202,"[539, 21]",[21],"[10, 76]"
61174,100959,1102,Hip-Hop,Hip-Hop,Rock,11173,16141,300,12085,18156,203,"[539, 21]",[21],[12]
95910,108501,38557,Hip-Hop,Hip-Hop,Rock,2402,16872,7723,2283,18877,9204,[21],"[539, 21]","[12, 404, 85]"
10693,11921,90592,Hip-Hop,Hip-Hop,Pop,2645,2905,15015,2631,3070,7444,[21],[21],"[10, 76]"
40541,26026,147412,Hip-Hop,Hip-Hop,Rock,8034,4918,21982,5934,4454,19740,"[100, 21]",[21],"[25, 12, 111]"
13767,142668,152253,Hip-Hop,Hip-Hop,International,3234,21430,22620,3773,22688,23946,[21],"[811, 83, 100, 21]","[2, 79]"
75393,56639,71511,Hip-Hop,Hip-Hop,Electronic,13248,10458,12672,12271,11216,11140,"[539, 21]",[21],"[240, 297, 15]"
11818,71692,116759,Hip-Hop,Hip-Hop,Instrumental,2899,12691,17962,3093,14456,18876,[21],[21],"[18, 1235]"
98550,144216,45387,Hip-Hop,Hip-Hop,Instrumental,15947,21564,8832,12271,16031,10458,"[539, 21]",[21],"[107, 1235]"
149953,150287,117885,Hip-Hop,Hip-Hop,Rock,22221,22410,18093,11979,16031,19909,[21],[21],"[25, 66, 12, 111]"
98585,61668,28483,Hip-Hop,Hip-Hop,Pop,15949,11218,6125,15196,13140,6880,"[539, 21]",[21],"[10, 76, 362]"
5268,119941,60042,Hip-Hop,Hip-Hop,International,1132,18304,7824,618,20153,9348,[21],"[539, 21]","[2, 92, 214]"
32882,75393,85291,Hip-Hop,Hip-Hop,Electronic,6828,13248,14383,6422,12271,13743,[21],"[539, 21]","[400, 236, 182, 15]"
11794,97691,48865,Hip-Hop,Hip-Hop,Experimental,2898,15824,9335,3089,12207,10154,[21],"[539, 100, 21]","[456, 250, 38]"
111935,67784,111306,Hip-Hop,Hip-Hop,Rock,17282,12144,17208,19201,11677,13966,"[539, 21]",[21],"[58, 45, 12, 53]"
7492,97980,113167,Hip-Hop,Hip-Hop,Folk,2095,15863,17441,1953,17695,19346,[21],[21],"[17, 103]"
147023,91306,68683,Hip-Hop,Hip-Hop,Electronic,21925,15117,12269,16031,11216,14152,[21],[21],"[184, 42, 15]"
14358,145728,108155,Hip-Hop,Hip-Hop,Rock,3341,21773,16823,3959,13450,18831,[21],[21],"[25, 12, 109]"
130709,132962,139638,Hip-Hop,Hip-Hop,Experimental,19682,20011,21002,21509,21462,6077,"[100, 21]","[539, 21]","[456, 247, 38, 47]"
140609,64990,36143,Hip-Hop,Hip-Hop,Electronic,21153,11726,7389,16031,13533,8666,[21],"[811, 21]","[42, 15, 400, 181, 182, 286]"
64629,108492,20372,Hip-Hop,Hip-Hop,Instrumental,11651,16872,4598,13493,18877,129,"[811, 21]","[539, 21]","[18, 1235]"
144182,116407,130953,Hip-Hop,Hip-Hop,Folk,21558,17921,19721,22809,8693,21539,"[539, 100, 21]","[811, 21]",[17]
89843,123442,145783,Hip-Hop,Hip-Hop,Rock,14962,18671,21781,16894,20648,23203,"[539, 21]","[539, 100, 21]","[25, 12, 85, 111]"
70207,13749,108319,Hip-Hop,Hip-Hop,Experimental,12474,3230,16845,14363,3771,9500,"[539, 21]",[21],[38]
49476,108840,108416,Hip-Hop,Hip-Hop,Electronic,9417,16893,16862,11216,3593,18761,[21],[21],"[181, 182, 15]"
